bank_transaction_id,reference,amount,credit_date,description
bank_0001,set_0001,1464.6,2026-08-12,RAZORPAY SETTLEMENT
bank_0002,set_0002,4882.0,2026-08-10,RAZORPAY SETTLEMENT
bank_0003,set_0003,1464.6,2026-08-14,RAZORPAY SETTLEMENT
bank_0005,set_0005,9764.0,2026-08-10,RAZORPAY SETTLEMENT
bank_0006,set_0006,4393.8,2026-08-17,RAZORPAY SETTLEMENT
bank_0007,set_0007,781.12,2026-08-10,RAZORPAY SETTLEMENT
bank_0008,set_0008,13181.4,2026-08-08,RAZORPAY SETTLEMENT
bank_0009,set_0009,4882.0,2026-08-28,RAZORPAY SETTLEMENT
bank_0010,set_0010,964.5999999999999,2026-09-02,RAZORPAY SETTLEMENT
bank_0011,set_0011,9764.0,2026-08-08,RAZORPAY SETTLEMENT
bank_0012,set_0012,14146.0,2026-08-11,RAZORPAY SETTLEMENT
bank_0013,set_0013,976.4,2026-08-04,RAZORPAY SETTLEMENT
bank_0014,set_0014,24410.0,2026-09-01,RAZORPAY SETTLEMENT
bank_0015,set_0015,14646.0,2026-08-14,RAZORPAY SETTLEMENT
bank_0016,set_0016,976.4,2026-08-20,RAZORPAY SETTLEMENT
bank_0017,set_0017,4882.0,2026-08-16,RAZORPAY SETTLEMENT
bank_0018,set_0018,1952.8,2026-09-03,RAZORPAY SETTLEMENT
bank_0019,set_0019,9514.0,2026-08-08,RAZORPAY SETTLEMENT
bank_0021,set_0021,9764.0,2026-09-10,RAZORPAY SETTLEMENT
bank_0022,set_0022,3905.6,2026-08-31,RAZORPAY SETTLEMENT
bank_0023,set_0023,9764.0,2026-08-23,RAZORPAY SETTLEMENT
bank_0025,set_0025,14646.0,2026-09-08,RAZORPAY SETTLEMENT
bank_0026,set_0026,24410.0,2026-09-11,RAZORPAY SETTLEMENT
bank_0027,set_0027,14646.0,2026-08-29,RAZORPAY SETTLEMENT
bank_0028,set_0028,781.12,2026-08-04,RAZORPAY SETTLEMENT
bank_0029,set_0029,3905.6,2026-08-09,RAZORPAY SETTLEMENT
bank_0030,set_0030,1464.6,2026-08-11,RAZORPAY SETTLEMENT
bank_0032,set_0032,14646.0,2026-08-19,RAZORPAY SETTLEMENT
bank_0033,set_0033,11716.8,2026-08-21,RAZORPAY SETTLEMENT
bank_0034,set_0034,4382.0,2026-08-29,RAZORPAY SETTLEMENT
bank_0035,set_0035,1464.6,2026-08-24,RAZORPAY SETTLEMENT
bank_0036,set_0036,24410.0,2026-08-21,RAZORPAY SETTLEMENT
bank_0037,set_0037,976.4,2026-08-25,RAZORPAY SETTLEMENT
bank_0038,set_0038,238.2,2026-08-12,RAZORPAY SETTLEMENT
bank_0039,set_0039,488.2,2026-08-19,RAZORPAY SETTLEMENT
bank_0040,set_0040,1464.6,2026-08-03,RAZORPAY SETTLEMENT
bank_0041,set_0041,9514.0,2026-08-28,RAZORPAY SETTLEMENT
bank_0042,set_0042,976.4,2026-08-19,RAZORPAY SETTLEMENT
bank_0043,set_0043,1464.6,2026-08-11,RAZORPAY SETTLEMENT
bank_0044,set_0044,781.12,2026-08-04,RAZORPAY SETTLEMENT
bank_0045,set_0045,24410.0,2026-08-28,RAZORPAY SETTLEMENT
bank_0046,set_0046,366.15,2026-08-27,RAZORPAY SETTLEMENT
bank_0047,set_0047,976.4,2026-08-22,RAZORPAY SETTLEMENT
bank_0048,set_0048,14646.0,2026-09-07,RAZORPAY SETTLEMENT
bank_0050,set_0050,781.12,2026-08-16,RAZORPAY SETTLEMENT
bank_0051,set_0051,9664.0,2026-08-11,RAZORPAY SETTLEMENT
bank_0052,set_0052,488.2,2026-08-23,RAZORPAY SETTLEMENT
bank_0053,set_0053,1852.8,2026-08-16,RAZORPAY SETTLEMENT
bank_0054,set_0054,1171.68,2026-08-28,RAZORPAY SETTLEMENT
bank_0055,set_0055,488.2,2026-08-27,RAZORPAY SETTLEMENT
bank_0057,set_0057,1952.8,2026-09-12,RAZORPAY SETTLEMENT
bank_0058,set_0058,4882.0,2026-08-09,RAZORPAY SETTLEMENT
bank_0059,set_0059,1464.6,2026-08-22,RAZORPAY SETTLEMENT
bank_0061,set_0061,976.4,2026-08-14,RAZORPAY SETTLEMENT
bank_0062,set_0062,24410.0,2026-08-13,RAZORPAY SETTLEMENT
bank_0063,set_0063,24410.0,2026-08-31,RAZORPAY SETTLEMENT
bank_0064,set_0064,4632.0,2026-08-03,RAZORPAY SETTLEMENT
bank_0065,set_0065,24410.0,2026-08-27,RAZORPAY SETTLEMENT
bank_0066,set_0066,976.4,2026-08-12,RAZORPAY SETTLEMENT
bank_0067,set_0067,24410.0,2026-08-22,RAZORPAY SETTLEMENT
bank_0068,set_0068,1952.8,2026-08-31,RAZORPAY SETTLEMENT
bank_0069,set_0069,1464.6,2026-08-07,RAZORPAY SETTLEMENT
bank_0070,set_0070,9514.0,2026-08-04,RAZORPAY SETTLEMENT
bank_0071,set_0071,488.2,2026-08-10,RAZORPAY SETTLEMENT
bank_0072,set_0072,7811.2,2026-08-05,RAZORPAY SETTLEMENT
bank_0073,set_0073,4782.0,2026-08-25,RAZORPAY SETTLEMENT
