payment_id,true_scenario
pay_0001,SETTLEMENT_DELAY
pay_0002,SETTLEMENT_DELAY
pay_0003,NORMAL
pay_0004,MISSING_BANK_RECORD
pay_0005,SETTLEMENT_DELAY
pay_0006,PARTIAL_REFUND
pay_0007,PARTIAL_REFUND
pay_0008,PARTIAL_REFUND
pay_0009,SETTLEMENT_DELAY
pay_0010,UNEXPLAINED_MISMATCH
pay_0011,NORMAL
pay_0012,UNEXPLAINED_MISMATCH
pay_0013,NORMAL
pay_0014,SETTLEMENT_DELAY
pay_0015,NORMAL
pay_0016,SETTLEMENT_DELAY
pay_0017,SETTLEMENT_DELAY
pay_0018,SETTLEMENT_DELAY
pay_0019,UNEXPLAINED_MISMATCH
pay_0020,MISSING_BANK_RECORD
pay_0021,SETTLEMENT_DELAY
pay_0022,PARTIAL_REFUND
pay_0023,SETTLEMENT_DELAY
pay_0024,MISSING_BANK_RECORD
pay_0025,SETTLEMENT_DELAY
pay_0026,SETTLEMENT_DELAY
pay_0027,SETTLEMENT_DELAY
pay_0028,PARTIAL_REFUND
pay_0029,PARTIAL_REFUND
pay_0030,SETTLEMENT_DELAY
pay_0031,MISSING_BANK_RECORD
pay_0032,SETTLEMENT_DELAY
pay_0033,PARTIAL_REFUND
pay_0034,UNEXPLAINED_MISMATCH
pay_0035,NORMAL
pay_0036,SETTLEMENT_DELAY
pay_0037,SETTLEMENT_DELAY
pay_0038,UNEXPLAINED_MISMATCH
pay_0039,NORMAL
pay_0040,PARTIAL_REFUND
pay_0041,UNEXPLAINED_MISMATCH
pay_0042,SETTLEMENT_DELAY
pay_0043,PARTIAL_REFUND
pay_0044,PARTIAL_REFUND
pay_0045,SETTLEMENT_DELAY
pay_0046,PARTIAL_REFUND
pay_0047,NORMAL
pay_0048,SETTLEMENT_DELAY
pay_0049,MISSING_BANK_RECORD
pay_0050,PARTIAL_REFUND
pay_0051,UNEXPLAINED_MISMATCH
pay_0052,SETTLEMENT_DELAY
pay_0053,UNEXPLAINED_MISMATCH
pay_0054,PARTIAL_REFUND
pay_0055,SETTLEMENT_DELAY
pay_0056,MISSING_BANK_RECORD
pay_0057,SETTLEMENT_DELAY
pay_0058,NORMAL
pay_0059,SETTLEMENT_DELAY
pay_0060,MISSING_BANK_RECORD
pay_0061,SETTLEMENT_DELAY
pay_0062,SETTLEMENT_DELAY
pay_0063,NORMAL
pay_0064,UNEXPLAINED_MISMATCH
pay_0065,SETTLEMENT_DELAY
pay_0066,NORMAL
pay_0067,NORMAL
pay_0068,NORMAL
pay_0069,NORMAL
pay_0070,UNEXPLAINED_MISMATCH
pay_0071,NORMAL
pay_0072,PARTIAL_REFUND
pay_0073,UNEXPLAINED_MISMATCH
pay_0074,NORMAL
pay_0075,UNEXPLAINED_MISMATCH
pay_0076,MISSING_BANK_RECORD
pay_0077,NORMAL
pay_0078,PARTIAL_REFUND
pay_0079,MISSING_BANK_RECORD
pay_0080,SETTLEMENT_DELAY
pay_0081,SETTLEMENT_DELAY
pay_0082,MISSING_BANK_RECORD
pay_0083,PARTIAL_REFUND
pay_0084,SETTLEMENT_DELAY
pay_0085,SETTLEMENT_DELAY
pay_0086,MISSING_BANK_RECORD
pay_0087,MISSING_BANK_RECORD
pay_0088,SETTLEMENT_DELAY
pay_0089,PARTIAL_REFUND
pay_0090,NORMAL
pay_0091,UNEXPLAINED_MISMATCH
pay_0092,UNEXPLAINED_MISMATCH
pay_0093,MISSING_BANK_RECORD
pay_0094,UNEXPLAINED_MISMATCH
pay_0095,UNEXPLAINED_MISMATCH
pay_0096,SETTLEMENT_DELAY
pay_0097,SETTLEMENT_DELAY
pay_0098,NORMAL
pay_0099,SETTLEMENT_DELAY
pay_0100,SETTLEMENT_DELAY
