payment_id,order_id,gross_amount,payment_date,status
pay_0001,order_0001,1500,2026-08-01,captured
pay_0002,order_0002,5000,2026-08-02,captured
pay_0003,order_0003,1500,2026-08-11,captured
pay_0004,order_0004,1000,2026-08-07,captured
pay_0005,order_0005,10000,2026-08-02,captured
pay_0006,order_0006,5000,2026-08-15,captured
pay_0007,order_0007,1000,2026-08-08,captured
pay_0008,order_0008,15000,2026-08-04,captured
pay_0009,order_0009,5000,2026-08-17,captured
pay_0010,order_0010,1500,2026-08-31,captured
pay_0011,order_0011,10000,2026-08-06,captured
pay_0012,order_0012,15000,2026-08-07,captured
pay_0013,order_0013,1000,2026-08-02,captured
pay_0014,order_0014,25000,2026-08-20,captured
pay_0015,order_0015,15000,2026-08-11,captured
pay_0016,order_0016,1000,2026-08-12,captured
pay_0017,order_0017,5000,2026-08-04,captured
pay_0018,order_0018,2000,2026-08-26,captured
pay_0019,order_0019,10000,2026-08-04,captured
pay_0020,order_0020,2000,2026-08-04,captured
pay_0021,order_0021,10000,2026-08-27,captured
pay_0022,order_0022,5000,2026-08-28,captured
pay_0023,order_0023,10000,2026-08-15,captured
pay_0024,order_0024,1500,2026-08-06,captured
pay_0025,order_0025,15000,2026-08-28,captured
pay_0026,order_0026,25000,2026-08-27,captured
pay_0027,order_0027,15000,2026-08-20,captured
pay_0028,order_0028,1000,2026-08-01,captured
pay_0029,order_0029,5000,2026-08-05,captured
pay_0030,order_0030,1500,2026-08-02,captured
pay_0031,order_0031,15000,2026-08-01,captured
pay_0032,order_0032,15000,2026-08-08,captured
pay_0033,order_0033,15000,2026-08-17,captured
pay_0034,order_0034,5000,2026-08-27,captured
pay_0035,order_0035,1500,2026-08-21,captured
pay_0036,order_0036,25000,2026-08-12,captured
pay_0037,order_0037,1000,2026-08-14,captured
pay_0038,order_0038,500,2026-08-09,captured
pay_0039,order_0039,500,2026-08-17,captured
pay_0040,order_0040,2000,2026-08-01,captured
pay_0041,order_0041,10000,2026-08-26,captured
pay_0042,order_0042,1000,2026-08-11,captured
pay_0043,order_0043,2000,2026-08-07,captured
pay_0044,order_0044,1000,2026-08-01,captured
pay_0045,order_0045,25000,2026-08-19,captured
pay_0046,order_0046,500,2026-08-23,captured
pay_0047,order_0047,1000,2026-08-18,captured
pay_0048,order_0048,15000,2026-08-25,captured
pay_0049,order_0049,5000,2026-08-03,captured
pay_0050,order_0050,1000,2026-08-12,captured
pay_0051,order_0051,10000,2026-08-09,captured
pay_0052,order_0052,500,2026-08-12,captured
pay_0053,order_0053,2000,2026-08-13,captured
pay_0054,order_0054,1500,2026-08-24,captured
pay_0055,order_0055,500,2026-08-12,captured
pay_0056,order_0056,1500,2026-08-17,captured
pay_0057,order_0057,2000,2026-08-30,captured
pay_0058,order_0058,5000,2026-08-07,captured
pay_0059,order_0059,1500,2026-08-11,captured
pay_0060,order_0060,10000,2026-08-22,captured
pay_0061,order_0061,1000,2026-08-02,captured
pay_0062,order_0062,25000,2026-08-02,captured
pay_0063,order_0063,25000,2026-08-28,captured
pay_0064,order_0064,5000,2026-08-01,captured
pay_0065,order_0065,25000,2026-08-15,captured
pay_0066,order_0066,1000,2026-08-08,captured
pay_0067,order_0067,25000,2026-08-20,captured
pay_0068,order_0068,2000,2026-08-28,captured
pay_0069,order_0069,1500,2026-08-05,captured
pay_0070,order_0070,10000,2026-08-02,captured
pay_0071,order_0071,500,2026-08-08,captured
pay_0072,order_0072,10000,2026-08-03,captured
pay_0073,order_0073,5000,2026-08-22,captured
pay_0074,order_0074,2000,2026-08-06,captured
pay_0075,order_0075,1000,2026-08-21,captured
pay_0076,order_0076,2000,2026-08-29,captured
pay_0077,order_0077,1000,2026-08-16,captured
pay_0078,order_0078,2000,2026-08-31,captured
pay_0079,order_0079,1500,2026-08-21,captured
pay_0080,order_0080,25000,2026-08-11,captured
pay_0081,order_0081,1000,2026-08-04,captured
pay_0082,order_0082,500,2026-08-13,captured
pay_0083,order_0083,15000,2026-08-15,captured
pay_0084,order_0084,1000,2026-08-09,captured
pay_0085,order_0085,1000,2026-08-27,captured
pay_0086,order_0086,1500,2026-08-23,captured
pay_0087,order_0087,1500,2026-08-16,captured
pay_0088,order_0088,5000,2026-08-17,captured
pay_0089,order_0089,25000,2026-08-13,captured
pay_0090,order_0090,25000,2026-08-07,captured
pay_0091,order_0091,1000,2026-08-18,captured
pay_0092,order_0092,2000,2026-08-30,captured
pay_0093,order_0093,25000,2026-08-07,captured
pay_0094,order_0094,25000,2026-08-28,captured
pay_0095,order_0095,500,2026-08-17,captured
pay_0096,order_0096,1000,2026-08-27,captured
pay_0097,order_0097,1000,2026-08-30,captured
pay_0098,order_0098,10000,2026-08-09,captured
pay_0099,order_0099,500,2026-08-29,captured
pay_0100,order_0100,5000,2026-08-25,captured
