refund_id,payment_id,refund_amount,refund_date
refund_0006,pay_0006,500.0,2026-08-16
refund_0007,pay_0007,200.0,2026-08-09
refund_0008,pay_0008,1500.0,2026-08-05
refund_0022,pay_0022,1000.0,2026-08-29
refund_0028,pay_0028,200.0,2026-08-02
refund_0029,pay_0029,1000.0,2026-08-06
refund_0033,pay_0033,3000.0,2026-08-18
refund_0040,pay_0040,500.0,2026-08-02
refund_0043,pay_0043,500.0,2026-08-08
refund_0044,pay_0044,200.0,2026-08-02
refund_0046,pay_0046,125.0,2026-08-24
refund_0050,pay_0050,200.0,2026-08-13
refund_0054,pay_0054,300.0,2026-08-25
refund_0072,pay_0072,2000.0,2026-08-04
refund_0078,pay_0078,400.0,2026-09-01
refund_0083,pay_0083,1500.0,2026-08-16
refund_0089,pay_0089,2500.0,2026-08-14
