settlement_id,payment_id,gross_amount,fee,tax,net_amount,settlement_date
set_0001,pay_0001,1500,30.0,5.4,1464.6,2026-08-11
set_0002,pay_0002,5000,100.0,18.0,4882.0,2026-08-09
set_0003,pay_0003,1500,30.0,5.4,1464.6,2026-08-13
set_0004,pay_0004,1000,20.0,3.6,976.4,2026-08-09
set_0005,pay_0005,10000,200.0,36.0,9764.0,2026-08-09
set_0006,pay_0006,5000,90.0,16.2,4393.8,2026-08-16
set_0007,pay_0007,1000,16.0,2.88,781.12,2026-08-09
set_0008,pay_0008,15000,270.0,48.6,13181.4,2026-08-07
set_0009,pay_0009,5000,100.0,18.0,4882.0,2026-08-27
set_0010,pay_0010,1500,30.0,5.4,1464.6,2026-09-01
set_0011,pay_0011,10000,200.0,36.0,9764.0,2026-08-07
set_0012,pay_0012,15000,300.0,54.0,14646.0,2026-08-10
set_0013,pay_0013,1000,20.0,3.6,976.4,2026-08-03
set_0014,pay_0014,25000,500.0,90.0,24410.0,2026-08-31
set_0015,pay_0015,15000,300.0,54.0,14646.0,2026-08-13
set_0016,pay_0016,1000,20.0,3.6,976.4,2026-08-19
set_0017,pay_0017,5000,100.0,18.0,4882.0,2026-08-15
set_0018,pay_0018,2000,40.0,7.2,1952.8,2026-09-02
set_0019,pay_0019,10000,200.0,36.0,9764.0,2026-08-07
set_0020,pay_0020,2000,40.0,7.2,1952.8,2026-08-06
set_0021,pay_0021,10000,200.0,36.0,9764.0,2026-09-09
set_0022,pay_0022,5000,80.0,14.4,3905.6,2026-08-30
set_0023,pay_0023,10000,200.0,36.0,9764.0,2026-08-22
set_0024,pay_0024,1500,30.0,5.4,1464.6,2026-08-07
set_0025,pay_0025,15000,300.0,54.0,14646.0,2026-09-07
set_0026,pay_0026,25000,500.0,90.0,24410.0,2026-09-10
set_0027,pay_0027,15000,300.0,54.0,14646.0,2026-08-28
set_0028,pay_0028,1000,16.0,2.88,781.12,2026-08-03
set_0029,pay_0029,5000,80.0,14.4,3905.6,2026-08-08
set_0030,pay_0030,1500,30.0,5.4,1464.6,2026-08-10
set_0031,pay_0031,15000,300.0,54.0,14646.0,2026-08-03
set_0032,pay_0032,15000,300.0,54.0,14646.0,2026-08-18
set_0033,pay_0033,15000,240.0,43.2,11716.8,2026-08-20
set_0034,pay_0034,5000,100.0,18.0,4882.0,2026-08-28
set_0035,pay_0035,1500,30.0,5.4,1464.6,2026-08-23
set_0036,pay_0036,25000,500.0,90.0,24410.0,2026-08-20
set_0037,pay_0037,1000,20.0,3.6,976.4,2026-08-24
set_0038,pay_0038,500,10.0,1.8,488.2,2026-08-11
set_0039,pay_0039,500,10.0,1.8,488.2,2026-08-18
set_0040,pay_0040,2000,30.0,5.4,1464.6,2026-08-02
set_0041,pay_0041,10000,200.0,36.0,9764.0,2026-08-27
